epoch,train_loss,train_obj,train_reg,train_pos_anchors,train_sampled_anchors,val_loss,val_recall@0.3,val_recall@0.5,val_recall@0.7,val_miss@0.3,val_miss@0.5,val_mean_best_iou,val_best_iou_p10,val_best_iou_p50,val_best_iou_p90,val_best_score_mean,val_best_score_p10,val_best_score_p50,val_best_score_p90,val_gt_len_mean,val_best_prop_len_mean,val_props_per_gt_iou_ge_03,val_props_per_gt_iou_ge_05,val_avg_props_per_sample_with_gt,val_gt_count,val_samples_total,val_samples_with_gt,val_frac_samples_with_gt,lr,ckpt_path,val_avg_props_per_sample_all,val_frac_samples_with_any_props
1,0.2365385850886139,0.1793834054238298,0.0571551796065431,154308,2260229,0.16652166621557846,0.811284046692607,0.708171206225681,0.3735408560311284,0.188715953307393,0.29182879377431903,0.5682079716864611,0.05400910712778569,0.6583450734615326,0.8401594579219818,0.5074073708242943,0.1216560758650303,0.4692067801952362,0.9353491306304932,49.49610894941634,50.87634731173979,2.71011673151751,1.206225680933852,15.180995475113122,514,313,221,0.7060702875399361,0.0001,/home/joshua/Coronary_R-CNN/RPN_results/fe_rpn_20260108_175945/checkpoints/epoch_001.pt,14.584664536741213,1.0
2,0.16271945590869602,0.11355578067973754,0.0491636751949531,154308,2260229,0.1425567822898649,0.8618677042801557,0.7295719844357976,0.41050583657587547,0.1381322957198443,0.2704280155642024,0.5912460091628917,0.14538644701242448,0.6582538187503815,0.8517211496829986,0.6554050917922001,0.15180365294218062,0.8004666864871979,0.9862479209899903,49.49610894941634,49.85352603841849,2.603112840466926,1.1342412451361867,13.823529411764707,514,313,221,0.7060702875399361,0.0001,/home/joshua/Coronary_R-CNN/RPN_results/fe_rpn_20260108_175945/checkpoints/epoch_002.pt,16.498402555910545,1.0
3,0.14506297999013656,0.09967148576757359,0.04539149426757393,154308,2260229,0.12527263834835237,0.8929961089494164,0.7859922178988327,0.42996108949416345,0.10700389105058361,0.21400778210116733,0.6162331563561922,0.27940615117549905,0.6808139383792877,0.832511591911316,0.6644355679342635,0.17434044778347016,0.8018868863582611,0.9812169730663299,49.49610894941634,49.32468502623562,2.88715953307393,1.293774319066148,15.656108597285067,514,313,221,0.7060702875399361,0.0001,/home/joshua/Coronary_R-CNN/RPN_results/fe_rpn_20260108_175945/checkpoints/epoch_003.pt,21.82747603833866,1.0
4,0.13166455832591728,0.09029689546881549,0.041367662913382154,154308,2260229,0.12604549934102852,0.9046692607003891,0.8132295719844358,0.4766536964980545,0.09533073929961089,0.1867704280155642,0.6377256310287617,0.3080993950366974,0.6915406584739685,0.8643545150756836,0.713611754175497,0.19565215110778808,0.857091099023819,0.9951328694820404,49.49610894941634,50.910909227823936,2.8190661478599224,1.328793774319066,15.099547511312217,514,313,221,0.7060702875399361,0.0001,/home/joshua/Coronary_R-CNN/RPN_results/fe_rpn_20260108_175945/checkpoints/epoch_004.pt,17.766773162939298,1.0
5,0.11834948494262151,0.08080865604932268,0.03754082905073723,154308,2260229,0.12448547216678027,0.9066147859922179,0.8054474708171206,0.4805447470817121,0.0933852140077821,0.19455252918287935,0.6378471964702068,0.32600187659263613,0.6870744228363037,0.8542022824287414,0.679119799083193,0.16260009706020356,0.8096428513526917,0.987574577331543,49.49610894941634,54.19238061014316,3.0700389105058368,1.3891050583657587,15.79185520361991,514,313,221,0.7060702875399361,0.0001,/home/joshua/Coronary_R-CNN/RPN_results/fe_rpn_20260108_175945/checkpoints/epoch_005.pt,20.402555910543132,1.0
6,0.1040068222622819,0.07012155624433111,0.033885266019259314,154308,2260229,0.13528144453314078,0.9007782101167315,0.7957198443579766,0.4571984435797665,0.09922178988326846,0.2042801556420234,0.6293012995693238,0.3075777530670166,0.6783743500709534,0.8510583579540253,0.7441257157440909,0.21811110228300096,0.9048380255699158,0.9962413907051086,49.49610894941634,56.74365701749631,2.727626459143969,1.3093385214007782,14.28054298642534,514,313,221,0.7060702875399361,0.0001,/home/joshua/Coronary_R-CNN/RPN_results/fe_rpn_20260108_175945/checkpoints/epoch_006.pt,17.015974440894567,1.0
7,0.08861566732586708,0.05782932093735111,0.030786346366524255,154308,2260229,0.1346192171832007,0.8618677042801557,0.7470817120622568,0.3560311284046693,0.1381322957198443,0.2529182879377432,0.5814535657545472,0.14441090822219857,0.644159585237503,0.8329865217208863,0.6943405169703252,0.15103773772716522,0.8574228286743164,0.9916123449802399,49.49610894941634,47.882756030977006,2.309338521400778,1.1770428015564203,15.647058823529411,514,313,221,0.7060702875399361,0.0001,/home/joshua/Coronary_R-CNN/RPN_results/fe_rpn_20260108_175945/checkpoints/epoch_007.pt,30.293929712460063,1.0
8,0.07305886133634823,0.04535856130040821,0.02770030003394069,154308,2260229,0.14857913471111778,0.8715953307392996,0.7392996108949417,0.3852140077821012,0.12840466926070038,0.2607003891050583,0.5957040967934326,0.2289438158273697,0.6585742831230164,0.8418944180011749,0.7623458090510626,0.1823550909757614,0.9585240483283997,0.9989309251308441,49.49610894941634,53.25175810045769,2.4785992217898833,1.2198443579766538,13.65158371040724,514,313,221,0.7060702875399361,0.0001,/home/joshua/Coronary_R-CNN/RPN_results/fe_rpn_20260108_175945/checkpoints/epoch_008.pt,22.789137380191693,1.0
9,0.0611008654462968,0.036317349072270945,0.024783516324427674,154308,2260229,0.1510351324110265,0.857976653696498,0.7334630350194552,0.4182879377431907,0.142023346303502,0.2665369649805448,0.5828342375994192,0.1170576125383378,0.6622092425823212,0.8323436141014099,0.7724956567570062,0.19860250055789946,0.9739987850189209,0.9995236158370971,49.49610894941634,50.92430845216091,2.424124513618677,1.2412451361867705,15.171945701357465,514,313,221,0.7060702875399361,0.0001,/home/joshua/Coronary_R-CNN/RPN_results/fe_rpn_20260108_175945/checkpoints/epoch_009.pt,28.5814696485623,1.0
10,0.050544178622322335,0.02840629661772227,0.022137881931173126,154308,2260229,0.16648876593549436,0.8618677042801557,0.7334630350194552,0.3521400778210117,0.1381322957198443,0.2665369649805448,0.5763548223830847,0.10546865835785874,0.6442765891551971,0.8260572195053101,0.7718971275320308,0.22200759500265121,0.9569076001644135,0.9995774269104004,49.49610894941634,48.75997055179878,2.4766536964980546,1.2003891050583657,13.57918552036199,514,313,221,0.7060702875399361,0.0001,/home/joshua/Coronary_R-CNN/RPN_results/fe_rpn_20260108_175945/checkpoints/epoch_010.pt,24.776357827476037,1.0
